campus,year,program,housing,status,mentalHealth,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Total_Score,score_percent,literacy_level
Sault Ste. Marie,First Year,Computer Science,Off-campus,International,No,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,90.47619047619048,0
Brampton,Second Year,Social Work,On-campus,Domestic,Yes,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,17,80.95238095238095,0
Timmins,Fifth Year+,Computer Science,Off-campus,International,No,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,13,61.904761904761905,0
Timmins,First Year,Business Administration,Off-campus,International,No,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,11,52.38095238095239,0
Brampton,Third Year,Computer Science,Off-campus,International,No,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,16,76.19047619047619,0
Sault Ste. Marie,Fourth Year,Business Administration,On-campus,International,Yes,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,15,71.42857142857143,0
Sault Ste. Marie,First Year,Computer Science,Off-campus,International,No,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5,23.809523809523807,0
Sault Ste. Marie,First Year,Computer Science,On-campus,International,No,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,14,66.66666666666666,0
Sault Ste. Marie,First Year,Computer Science,Off-campus,International,No,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,17,80.95238095238095,0
Sault Ste. Marie,First Year,Computer Science,Off-campus,International,No,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,15,71.42857142857143,0
Sault Ste. Marie,First Year,Computer Science,Off-campus,International,No,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,17,80.95238095238095,0
Sault Ste. Marie,First Year,Computer Science,Off-campus,International,No,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,95.23809523809523,0
Sault Ste. Marie,Third Year,Anishinaabe Studies,On-campus,Domestic,No,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,11,52.38095238095239,0
Brampton,Third Year,Business Administration,Off-campus,International,No,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18,85.71428571428571,0
Sault Ste. Marie,First Year,Environmental Science,Off-campus,International,Yes,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,85.71428571428571,0
Brampton,Fourth Year,Computer Science,Off-campus,International,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,100.0,1
Brampton,First Year,English,On-campus,International,No,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,6,28.57142857142857,0
Brampton,Fourth Year,Computer Science,On-campus,International,No,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,8,38.095238095238095,0
Brampton,Third Year,Computer Science,Off-campus,International,No,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,17,80.95238095238095,0
Brampton,Second Year,Computer Science,Off-campus,International,Yes,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,19,90.47619047619048,0
Brampton,Second Year,Computer Science,Off-campus,International,Yes,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,90.47619047619048,0
Brampton,Second Year,Computer Science,Off-campus,International,No,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,15,71.42857142857143,0
Sault Ste. Marie,Second Year,Other,Off-campus,International,No,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,17,80.95238095238095,0
Sault Ste. Marie,First Year,Environmental Science,On-campus,Domestic,Yes,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,6,28.57142857142857,0
Sault Ste. Marie,First Year,Computer Science,Off-campus,Domestic,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,100.0,1
Sault Ste. Marie,Fourth Year,Social Work,Off-campus,Domestic,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,100.0,1
Sault Ste. Marie,First Year,Law & Justice,Off-campus,Domestic,Yes,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,95.23809523809523,0
